grove_voc1,grove_no2,grove_eth,grove_co,ens_tvoc,ens_co2,temperature,pressure,altitude,humidity,"label
"
1.58,1.16,1.41,2.10,0.00,0.00,26.92,98854.71,207.73,14.78,"ambient
"
1.58,1.15,1.42,2.11,0.00,0.00,26.91,98855.75,207.64,14.78,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.92,98856.60,207.57,14.78,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.92,98857.03,207.53,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98855.75,207.64,14.78,"ambient
"
1.58,1.15,1.42,2.11,0.00,0.00,26.92,98857.98,207.45,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98860.55,207.23,14.78,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.92,98856.35,207.59,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98855.65,207.65,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98858.06,207.44,14.78,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.93,98857.36,207.51,14.82,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.93,98858.05,207.45,14.84,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.93,98858.05,207.45,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98855.83,207.64,14.84,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.92,98856.35,207.59,14.86,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98857.63,207.48,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.53,207.32,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.91,98857.47,207.50,14.81,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98858.24,207.43,14.81,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98855.57,207.66,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98857.03,207.53,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98857.72,207.47,14.81,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98857.97,207.45,14.81,"ambient
"
1.59,1.16,1.42,2.11,0.00,0.00,26.92,98857.03,207.53,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98858.66,207.39,14.80,"ambient
"
1.58,1.17,1.41,2.11,0.00,0.00,26.92,98859.69,207.31,14.78,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98857.54,207.49,14.80,"ambient
"
1.58,1.17,1.41,2.11,0.00,0.00,26.92,98856.60,207.57,14.83,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98856.51,207.58,14.79,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98858.41,207.42,14.87,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98859.10,207.36,14.84,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98857.38,207.50,14.80,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98856.69,207.56,14.80,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98856.35,207.59,14.81,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98857.64,207.48,14.81,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98856.51,207.58,14.81,"ambient
"
1.59,1.16,1.42,2.11,0.00,0.00,26.92,98856.35,207.59,14.80,"ambient
"
1.59,1.16,1.42,2.11,0.00,0.00,26.92,98855.39,207.67,14.81,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98858.41,207.42,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98856.35,207.59,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98859.44,207.33,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98861.33,207.17,14.81,"ambient
"
1.58,1.17,1.41,2.11,0.00,0.00,26.92,98857.38,207.50,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98855.83,207.64,14.79,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98857.72,207.47,14.80,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98858.85,207.38,14.74,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98860.30,207.25,14.78,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98858.50,207.41,14.81,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98858.85,207.38,14.79,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.91,98860.05,207.28,14.79,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98859.45,207.33,14.80,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98857.89,207.46,14.79,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98857.72,207.47,14.79,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98857.54,207.49,14.80,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98857.72,207.47,14.79,"ambient
"
1.59,1.17,1.42,2.11,0.00,0.00,26.92,98858.58,207.40,14.80,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98858.67,207.39,14.79,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98859.01,207.37,14.75,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98856.95,207.54,14.74,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98858.58,207.40,14.80,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.91,98856.27,207.60,14.81,"ambient
"
1.59,1.16,1.42,2.11,0.00,0.00,26.92,98857.21,207.52,14.75,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98857.03,207.53,14.82,"ambient
"
1.58,1.17,1.42,2.11,0.00,0.00,26.92,98857.03,207.53,14.81,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.78,207.30,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98857.64,207.48,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.79,207.30,14.79,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98858.85,207.38,14.79,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98857.81,207.47,14.79,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.61,207.31,14.79,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98858.50,207.41,14.79,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.10,207.36,14.79,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.92,98859.18,207.35,14.78,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.92,98860.82,207.21,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98858.76,207.39,14.74,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.92,98858.58,207.40,14.76,"ambient
"
1.58,1.15,1.42,2.11,0.00,0.00,26.92,98857.98,207.45,14.70,"ambient
"
1.58,1.15,1.42,2.11,0.00,0.00,26.92,98858.07,207.44,14.82,"ambient
"
1.58,1.15,1.42,2.10,0.00,0.00,26.92,98859.45,207.33,14.75,"ambient
"
1.58,1.15,1.42,2.10,0.00,0.00,26.92,98858.76,207.39,14.81,"ambient
"
1.58,1.15,1.42,2.10,0.00,0.00,26.91,98857.13,207.52,14.78,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98856.53,207.57,14.77,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98858.00,207.45,14.79,"ambient
"
1.58,1.15,1.42,2.11,0.00,0.00,26.91,98856.78,207.55,14.78,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.91,98857.30,207.51,14.78,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98856.88,207.55,14.77,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98853.86,207.80,14.78,"ambient
"
1.58,1.15,1.42,2.10,0.00,0.00,26.92,98858.76,207.39,14.78,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.92,98859.28,207.34,14.78,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.92,98857.89,207.46,14.73,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.92,98857.55,207.49,14.81,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.91,98856.61,207.57,14.80,"ambient
"
1.57,1.16,1.42,2.10,0.00,0.00,26.92,98858.25,207.43,14.79,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98857.64,207.48,14.83,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.92,98858.25,207.43,14.80,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.92,98858.67,207.39,14.76,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.92,98856.52,207.58,14.80,"ambient
"
1.58,1.16,1.42,2.10,0.00,0.00,26.91,98858.33,207.42,14.80,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.91,98857.82,207.47,14.80,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.92,98857.89,207.46,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.62,207.31,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98855.06,207.70,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.92,98859.36,207.34,14.80,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.92,98860.74,207.22,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.91,98858.85,207.38,14.80,"ambient
"
1.58,1.16,1.42,2.11,0.00,0.00,26.91,98857.99,207.45,14.79,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.91,98856.71,207.56,14.84,"ambient
"
